Name,Category ID,Category Name,Latitude,Longitude,Popularity,Price,Rating
Ravintola Paulette,13148,French Restaurant,60.158526,24.945557,0.9815886460623305,Affordable,9.1
Kaffa Roastery,13034,Café,60.158463,24.934133,0.992038988749515,Affordable,9.0
Daddy Greens Pizzabar - Iso Roobertinkatu,13064,Pizzeria,60.16284,24.940647,0.9811279581016424,Most Affordable,8.8
Ravintola Skiffer,13064,Pizzeria,60.152901,24.946306,0.9677014019431268,Affordable,8.7
Ravintola Pastis,13148,French Restaurant,60.164127,24.947772,0.9820493340230183,Affordable,8.6
Restaurant Elm,13065,Restaurant,60.156974,24.952636,0.9895173283331179,Not Listed,8.6
Café Succès,13034,Café,60.159946,24.946425,0.990996379154274,Most Affordable,8.5
BasBas Kulma,13065,Restaurant,60.158246,24.934388,0.9713646062330271,Not Listed,8.4
Kanniston Leipomo myymälä,13002,Bakery,60.159244,24.936898,0.9845144187249449,Most Affordable,8.4
Mattolaituri,13025,Wine Bar,60.153817,24.95591,0.9713241950084056,Most Expensive,8.2
Boneless Ullanlinna,13055,Fried Chicken Joint,60.159167,24.94489,0.9737973619552568,Most Affordable,8.2
Pontus,13027,Bistro,60.159031,24.946071,0.9778708133971292,Not Listed,8.2
Ravintola Maxill,13148,French Restaurant,60.160412,24.94631,0.9716636492952282,Affordable,8.1
Punavuoren Ahven,13006,Beer Bar,60.160976,24.937724,0.9957568214147161,Affordable,8.1
Ravintola,13034,Café,60.15308,24.952519,0.983011121169016,Affordable,8.0
Restaurant Manna,13289,Korean Restaurant,60.160486,24.939111,0.9480069184016552,Affordable,8.0
Forza,13064,Pizzeria,60.158477,24.933881,0.9847892150523729,Most Affordable,8.0
