Name,Category Alias,Category Title,Latitude,Longitude,Price,Rating
Bar Bhangra,bars,Bars,60.1746763096013,24.9218718083401,Most Affordable,4.3
Daddy Greens Pizzabar,pizza,Pizza,60.18503,24.92031,Not Listed,4.5
Sushibar + Wine,sushi,Sushi Bars,60.1840781,24.9197946,Not Listed,4.3
Töölön kirjasto,libraries,Libraries,60.1832884612179,24.9175566663552,Not Listed,4.3
Rajasaaren koirapuisto,dog_parks,Dog Parks,60.181881,24.90872,Not Listed,4.3
Oodi,libraries,Libraries,60.1737602040936,24.9380516215361,Not Listed,5.0
Sinne,scandinavian,Scandinavian,60.16767,24.9375,Expensive,4.2
Ilves,scandinavian,Scandinavian,60.168467858672,24.9326658364929,Affordable,4.1
Tin Tin Tango,breakfast_brunch,Breakfast & Brunch,60.1785088,24.9253006,Affordable,4.1
Troikka,russian,Russian,60.1737785,24.9200993,Not Listed,4.1
India House,indpak,Indian,60.1688919,24.9367695,Affordable,4.1
New Bamboo Center,chinese,Chinese,60.16799,24.93588,Most Affordable,4.1
OmNam,vegan,Vegan,60.16799,24.93588,Most Affordable,4.1
Töölön Sävel,gastropubs,Gastropubs,60.1781726318713,24.9224498823596,Affordable,4.1
Mountain,himalayan,Himalayan/Nepalese,60.1863289,24.9166298,Affordable,4.1
Benjam's Bistro,italian,Italian,60.1736717,24.9293404,Affordable,4.1
Oral Hammaslääkärit,"generaldentistry, dentists","General Dentistry, Dentists",60.18222,24.92092,Not Listed,5.0
Burger King,"burgers, hotdogs","Burgers, Fast Food",60.17038,24.940636,Most Affordable,4.0
Väentupa,sportsbars,Sports Bars,60.1707306,24.934,Not Listed,5.0
Ravintola Buddha,food,Food,60.1726668,24.9320088,Not Listed,5.0
Tanskalainen Voileipä,sandwiches,Sandwiches,60.17496,24.92922,Not Listed,5.0
Jänö,foodstands,Food Stands,60.1742147499342,24.9308367250901,Not Listed,5.0
Ristorante Lo Stretto,italian,Italian,60.1702,24.94146,Not Listed,5.0
Daruma,sushi,Sushi Bars,60.1750646893393,24.9268095235212,Not Listed,5.0
Elite,scandinavian,Scandinavian,60.1765866118968,24.9230112962382,Expensive,4.0
Don Angelo,italian,Italian,60.1829233737037,24.9262084248486,Not Listed,4.0
Picnic,coffee,Coffee & Tea,60.1797326544536,24.9233973026276,Most Affordable,5.0
Sushibar + Wine,sushi,Sushi Bars,60.1702155592826,24.9414505665228,Not Listed,5.0
Sushi Panda,sushi,Sushi Bars,60.18326,24.92388,Not Listed,5.0
Vastarannan Kiiski,restaurants,Restaurants,60.174140897385,24.922029621553,Affordable,4.0
Pinto B'staurant,thai,Thai,60.1876219771893,24.9641126468138,Most Affordable,4.7
Kallion kirjasto,libraries,Libraries,60.1836153027195,24.9536300322936,Not Listed,4.6
Solmu Pub,pubs,Pubs,60.18819,24.95748,Most Affordable,4.8
Lie Mi,vietnamese,Vietnamese,60.1857213,24.961577,Affordable,4.8
Soi soi,vegetarian,Vegetarian,60.1884311,24.9587276,Most Affordable,4.4
Kaiku,danceclubs,Dance Clubs,60.1837558848643,24.9598434879193,Affordable,4.4
Toveri,wine_bars,Wine Bars,60.1840515,24.9457092,Affordable,4.4
Döner Harju,kebab,Kebab,60.1886292593151,24.9532030745918,Most Affordable,4.3
Way Bakery and Wine Bar,bakeries,Bakeries,60.18453,24.95357,Not Listed,5.0
Kolo,vegan,Vegan,60.18396,24.95742,Not Listed,5.0
Bali Brunch,indonesian,Indonesian,60.1887,24.9578,Not Listed,5.0
Onda,mediterranean,Mediterranean,60.184314945045,24.9601788186547,Affordable,4.2
Kannunvalajien Kuppala,bars,Bars,60.1735802,24.9510002,Most Affordable,4.2
Fafa's,"mideastern, falafel","Middle Eastern, Falafel",60.1870973757324,24.9662411326682,Most Affordable,4.2
Kuudes Linja,danceclubs,Dance Clubs,60.1837471809973,24.9595722556114,Expensive,4.1
Molotow,divebars,Dive Bars,60.1886597,24.9534492,Affordable,4.1
Street Gastro,foodtrucks,Food Trucks,60.1884589554812,24.9578529596329,Most Affordable,4.1
Kombo,tapasmallplates,Tapas/Small Plates,60.1883408,24.964871,Not Listed,4.1
Korea House,korean,Korean,60.1728592,24.9570103,Affordable,4.1
Bro,scandinavian,Scandinavian,60.1771330506613,24.95125592775,Expensive,4.1
Oral,dentists,Dentists,60.1819992,24.9545403,Not Listed,5.0
Ton Khaow,thai,Thai,60.1873901678806,24.9591993060961,Not Listed,5.0
Pompei,italian,Italian,60.1743813,24.9527702,Affordable,4.0
Zen Sushi - sushi & sake,japanese,Japanese,60.1743469,24.9528839,Affordable,4.0
Social Burgerjoint,burgers,Burgers,60.1884023,24.9645183,Not Listed,4.0
Cafe II-Linja 23,restaurants,Restaurants,60.1832085,24.9451809,Not Listed,5.0
