Foursquare Name,Foursquare Search,Foursquare Category,Latitude,Longitude,Foursquare Popularity,Foursquare Price,Foursquare Rating,Rounded Latitude,Rounded Longitude,ID
Kotipizza Munkkiniemi,13064,Pizzeria,60.197422,24.878627,0.9160982154403208,Most Affordable,6.3,60.197,24.879,60.197_24.879
Ravintola Ukko-Munkki,13057,Gastropub,60.199618,24.877642,0.9563720418983576,Expensive,6.2,60.2,24.878,60.2_24.878
Hesburger,13034,Café,60.201959,24.881451,0.9942858528384844,Most Affordable,5.0,60.202,24.881,60.202_24.881
HSL 1302 Seurasaari,19043,Bus Stop,60.188466,24.885602,0.9609142635458424,Not Listed,0.0,60.188,24.886,60.188_24.886
La Rosa,13064,Pizzeria,60.197905,24.879619,0.8039893960946592,Most Affordable,0.0,60.198,24.88,60.198_24.88
Royal Pokhara,13199,Indian Restaurant,60.19725,24.878385,0.9816613862666494,Affordable,0.0,60.197,24.878,60.197_24.878
HSL 1402 Laajalahden aukio,19043,Bus Stop,60.197755,24.876413,0.7605877408508988,Not Listed,0.0,60.198,24.876,60.198_24.876
Ravintola Lia,13098,Caucasian Restaurant,60.199452,24.877506,0.9330547652916074,Not Listed,0.0,60.199,24.878,60.199_24.878
Lukusali,12031,College Library,60.20026,24.878666,0.6300514030777189,Not Listed,0.0,60.2,24.879,60.2_24.879
La Casetta Nostra,13031,Burger Joint,60.201928,24.882619,0.9585300012931592,Most Affordable,0.0,60.202,24.883,60.202_24.883
Drunch,13032,"Cafe, Coffee, and Tea House",60.195086,24.873231,0.9782183499288762,Not Listed,0.0,60.195,24.873,60.195_24.873
Cafe Meri,13034,Café,60.185861,24.884262,0.9672022500969868,Most Affordable,7.5,60.186,24.884,60.186_24.884
Cafe Torpanranta,13034,Café,60.19439,24.871368,0.9951264063106168,Expensive,7.3,60.194,24.871,60.194_24.871
Ravintola Meritorppa,13336,Scandinavian Restaurant,60.192514,24.872416,0.9507791284107072,Affordable,6.9,60.193,24.872,60.193_24.872
Seurasaaren Joulupolku,16019,Hiking Trail,60.185218,24.885723,0.9837385232122074,Not Listed,0.0,60.185,24.886,60.185_24.886
HSL 1408 Saunalahti,19043,Bus Stop,60.192547,24.880397,0.3932416267942584,Not Listed,0.0,60.193,24.88,60.193_24.88
HSL 1409 Saunalahti,19043,Bus Stop,60.192219,24.878537,0.9186279581016424,Not Listed,0.0,60.192,24.879,60.192_24.879
HSL 1298 Ruutikellarit,19043,Bus Stop,60.187283,24.895968,0.6443165653691969,Not Listed,0.0,60.187,24.896,60.187_24.896
Pyöreä sali,13065,Restaurant,60.191708,24.872948,0.9562346437346436,Not Listed,0.0,60.192,24.873,60.192_24.873
Hiltonin Temppu,13065,Restaurant,60.192248,24.873192,0.5664037242984611,Not Listed,0.0,60.192,24.873,60.192_24.873
Vista Bar & Lounge,13065,Restaurant,60.192359,24.873283,0.9874967671020304,Not Listed,0.0,60.192,24.873,60.192_24.873
Seurasaaren Kruunu,13065,Restaurant,60.181138,24.883472,0.9574065692486744,Not Listed,0.0,60.181,24.883,60.181_24.883
HSL 1296 Mäntyniemi,19043,Bus Stop,60.18642,24.89894,0.1347067761541446,Not Listed,0.0,60.186,24.899,60.186_24.899
HSL 1385 Meilahdentie,19043,Bus Stop,60.193725,24.894888,0.9750096986939092,Not Listed,0.0,60.194,24.895,60.194_24.895
HSL 1410 Kuusiniementie,19043,Bus Stop,60.18668,24.869822,0.8141811069442648,Not Listed,0.0,60.187,24.87,60.187_24.87
HSL V1410 Varistontie,19043,Bus Stop,60.187388,24.869409,0.2527722100090521,Not Listed,0.0,60.187,24.869,60.187_24.869
HSL 1390 Munkkiniemen aukio,19043,Bus Stop,60.196155,24.885145,0.92263675158412,Not Listed,0.0,60.196,24.885,60.196_24.885
HSL 1400 Munkkin. puistotie,19043,Bus Stop,60.196436,24.883785,0.1251373981637139,Not Listed,0.0,60.196,24.884,60.196_24.884
HSL 1411 Kuusiniementie,19043,Bus Stop,60.187233,24.867791,0.6726852450536661,Not Listed,0.0,60.187,24.868,60.187_24.868
Kuusipuisto,16033,Dog Park,60.195161,24.895171,0.6352563688090004,Not Listed,0.0,60.195,24.895,60.195_24.895
Hammaslääkäri Lauri Huhtala,15007,Dentist,60.196941,24.884298,0.1651606750290961,Not Listed,0.0,60.197,24.884,60.197_24.884
HSL 1399 Munkkin. puistotie,19043,Bus Stop,60.197105,24.882742,0.5486308677098151,Not Listed,0.0,60.197,24.883,60.197_24.883
Sounds Delicious By The Beach,13097,Caribbean Restaurant,60.19439,24.871368,0.861890598732704,Affordable,0.0,60.194,24.871,60.194_24.871
Hammaslääkäri Sivula-Nurmio Paula Hammastarha,15007,Dentist,60.195659,24.881457,0.0,Not Listed,0.0,60.196,24.881,60.196_24.881
XO-Ravintolat Oy,13032,"Cafe, Coffee, and Tea House",60.195336,24.87801,0.0,Not Listed,0.0,60.195,24.878,60.195_24.878
MoMo Services Oy,13065,Restaurant,60.195223,24.892835,0.0,Not Listed,0.0,60.195,24.893,60.195_24.893
Helsingin kaupunginkirjasto Munkkiniemen kirjasto,12080,Library,60.196869,24.875687,0.9543999741368164,Not Listed,6.7,60.197,24.876,60.197_24.876
