Name,Category Alias,Category Title,Latitude,Longitude,Distance,Price,Rating
Trocadero,french,French,60.1647987,24.9426403,440.8789319913038,,4.8
Ora,scandinavian,Scandinavian,60.15766,24.94254,374.3988800609098,,5.0
Demo,scandinavian,Scandinavian,60.1648301,24.9415088,426.1918092682359,€€€€,4.5
Yes yes yes,vegan,Vegan,60.1642087586756,24.9439802393317,376.6342061839224,,5.0
Haru Sushi,sushi,Sushi Bars,60.1649,24.93562,571.3032712645677,,5.0
Palace,scandinavian,Scandinavian,60.1652603,24.9518204,755.5613881644251,€€€€,4.8
Ravintola Grön,vegetarian,Vegetarian,60.16445,24.93233,646.0848772573033,,5.0
Hoku,hawaiian,Hawaiian,60.1693803135216,24.9339735867197,1027.5155372725144,€€,4.5
Liberty or Death,speakeasies,Speakeasies,60.16472,24.94462,436.880896975533,€€,4.5
El Greco,greek,Greek,60.16597,24.94489,572.3162237455103,€€,4.5
Vibami,vietnamese,Vietnamese,60.1631,24.94172,352.0404946490862,€€,4.5
Domo,japanese,Japanese,60.1665611,24.9349804,706.045232212903,€€€,4.4
Tommyknocker,pubs,Pubs,60.1634598,24.9412804,268.3961087732231,€€,4.4
Pizzeria Via Tribunali,pizza,Pizza,60.16848,24.95157,999.7020849209016,,4.4
Rulla,vietnamese,Vietnamese,60.1676712,24.9375,786.7418093109142,€€,4.4
Soppakeittiö,soup,Soup,60.1664065865745,24.952743931244,853.2179591357927,€,4.4
The Riff,bars,Bars,60.1641388,24.9428196,352.5467549505318,€€,4.4
Toca,modern_european,Modern European,60.1654414,24.9512655,719.803061759964,€€€,4.4
A21 Decades,lounges,Lounges,60.1667658,24.9372628,688.5112385878896,€€€,4.4
Casa Italia,italian,Italian,60.164694199889,24.9379016252986,463.9515526906048,€€,4.4
Milli Miglia,bars,Bars,60.16494,24.93192,712.2889459057009,€€,4.4
Ravintola Vinkkeli,modern_european,Modern European,60.1639,24.94641,943.5904408324901,€€€€,5.0
Casa Chipotle,mexican,Mexican,60.1645288454964,24.927932633924,276.79951074282246,,5.0
Baskeri &  Basso,bistros,Bistros,60.1578732195411,24.934694096446,554.8168918516227,€€,4.8
Ravintola Savoy,restaurants,Restaurants,60.1666412,24.9473209,1112.3750379571525,€€€€,4.8
PASSIO Keittiö ja Baari,modern_european,Modern European,60.1670838,24.9369496,675.091705626856,€€€€,4.8
Chef & Sommelier,scandinavian,Scandinavian,60.15766,24.94254,879.427982434961,€€€€,4.8
Krog Roba,scandinavian,Scandinavian,60.16454,24.94722,1001.9207823919194,€€€,4.8
Phó Viét,vietnamese,Vietnamese,60.1678284709583,24.9374913705416,759.9161435109339,,4.8
Huutokonttori Kanttiini,cocktailbars,Cocktail Bars,60.1599353623284,24.920930087362,546.6611452588957,€,5.0
Patisserie Teemu & Markus,desserts,Desserts,60.1678773247786,24.9379374190249,778.576440975873,€,4.7
Kafe Moskova,russian,Russian,60.1670113,24.9338894,588.9201549649497,€€,4.7
Momo Toko,ramen,Ramen,60.16616,24.9339,510.8383562868233,,4.7
Karl Johan,scandinavian,Scandinavian,60.1680266,24.9389719,833.0791980782355,€€€,4.7
Rikhardinkadun kirjasto,libraries,Libraries,60.1662407,24.9464092,1019.3352736355832,,4.7
Fisken på Disken,seafood,Seafood,60.1693314661659,24.9338641883605,825.7631196081729,,4.6
Classic Pizza,pizza,Pizza,60.1685237503237,24.9424013740297,994.0497920035397,€€,4.6
Pompier,scandinavian,Scandinavian,60.1649543127515,24.9331962618671,362.22937982436565,€€,4.6
Kino Andorra & Dubrovnik,danceclubs,Dance Clubs,60.1670113,24.9338894,588.9201549649497,€€,4.6
Kissakahvila Helkatti,coffee,Coffee & Tea,60.1672089,24.933314,591.7597601583412,€€,4.6
Bar Mendocino,pubs,Pubs,60.1657849,24.931525,411.20917989339665,€,4.5
Ani,turkish,Turkish,60.1571504587047,24.9336607849584,602.7334838831944,€€,4.5
Fulbari,himalayan,Himalayan/Nepalese,60.1573629,24.9320834,553.7901789996578,€€,4.8
Trocadero,french,French,60.1647987,24.9426403,762.4450703647591,,4.8
Ora,scandinavian,Scandinavian,60.15766,24.94254,879.2569073000583,,5.0
Demo,scandinavian,Scandinavian,60.1648301,24.9415088,715.7636849268833,€€€€,4.5
Yes yes yes,vegan,Vegan,60.1642087586756,24.9439802393317,820.9927356515865,,5.0
Haru Sushi,sushi,Sushi Bars,60.1649,24.93562,464.0684626988387,,5.0
Ravintola Grön,vegetarian,Vegetarian,60.16445,24.93233,314.09330868545396,,5.0
Hoku,hawaiian,Hawaiian,60.1693803135216,24.9339735867197,832.6783170813738,€€,4.5
Liberty or Death,speakeasies,Speakeasies,60.16472,24.94462,859.612143177724,€€,4.5
El Greco,greek,Greek,60.16597,24.94489,945.8983036578751,€€,4.5
Vibami,vietnamese,Vietnamese,60.1631,24.94172,833.5873732930975,€€,4.5
Domo,japanese,Japanese,60.1665611,24.9349804,569.7528695622511,€€€,4.4
Tommyknocker,pubs,Pubs,60.1634598,24.9412804,668.5534821910837,€€,4.4
Rulla,vietnamese,Vietnamese,60.1676712,24.9375,757.4009326561887,€€,4.4
The Riff,bars,Bars,60.1641388,24.9428196,786.2322979513928,€€,4.4
A21 Decades,lounges,Lounges,60.1667658,24.9372628,657.8707246175707,€€€,4.4
Casa Italia,italian,Italian,60.164694199889,24.9379016252986,531.783140817103,€€,4.4
Milli Miglia,bars,Bars,60.16494,24.93192,342.64575157587973,€€,4.4
Farang,asianfusion,Asian Fusion,60.171019,24.9335388,1003.3555676510729,€€€€,4.4
Hills Dumplings,dimsum,Dim Sum,60.16441,24.94533,902.4781918877361,,4.4
Konstan Möljä,scandinavian,Scandinavian,60.1638184,24.9264202,253.05274925589052,€€,4.3
Cargo,breakfast_brunch,Breakfast & Brunch,60.1629543079833,24.9225186352618,406.0583639153028,€€,4.3
Cafe Yrjö,coffee,Coffee & Tea,60.1683083,24.93894,824.1046594208696,€€€,4.3
Twisted Street Kitchen,asianfusion,Asian Fusion,60.1705391,24.9282393,930.7785064225762,€,4.3
Brooklyn Cafe,bagels,Bagels,60.16131,24.94182,547.5300410957136,€,4.3
Kippo,juicebars,Juice Bars & Smoothies,60.16881,24.937288,846.4162739998073,€,4.3
Istanbul Grilli,turkish,Turkish,60.1629414443893,24.9389866097799,520.3447743364914,€€€,4.3
Pastor,latin,Latin American,60.1660614,24.9430008,776.6269049091986,€€€,4.3
Ravintola Natura,scandinavian,Scandinavian,60.16369,24.94181,726.0213094258575,€€€€,4.3
Ravintola Vinkkeli,modern_european,Modern European,60.1639,24.94641,420.3203863847314,€€€€,5.0
Casa Chipotle,mexican,Mexican,60.1645288454964,24.927932633924,623.7012705022082,,5.0
Baskeri &  Basso,bistros,Bistros,60.1578732195411,24.934694096446,861.0436955206147,€€,4.8
Ravintola Savoy,restaurants,Restaurants,60.1666412,24.9473209,492.48145398599377,€€€€,4.8
PASSIO Keittiö ja Baari,modern_european,Modern European,60.1670838,24.9369496,231.28521772740692,€€€€,4.8
Chef & Sommelier,scandinavian,Scandinavian,60.15766,24.94254,872.0316759866782,€€€€,4.8
Krog Roba,scandinavian,Scandinavian,60.16454,24.94722,452.9383090963417,€€€,4.8
Phó Viét,vietnamese,Vietnamese,60.1678284709583,24.9374913705416,294.89867545066454,,4.8
Spis,scandinavian,Scandinavian,60.1636314,24.9476795,532.2097750479275,€€€€,4.8
Pompier,scandinavian,Scandinavian,60.1671925257657,24.9492107925732,597.5852994236036,€€€,4.8
Finlandia Caviar Shop & Restaurant,gourmet,Specialty Food,60.16691,24.95163,753.561086872906,,5.0
Trillby & Chadwick,speakeasies,Speakeasies,60.16835,24.9538,880.4277153939762,€€,4.7
Patisserie Teemu & Markus,desserts,Desserts,60.1678773247786,24.9379374190249,293.7122713274789,€,4.7
Kafe Moskova,russian,Russian,60.1670113,24.9338894,322.2396156764316,€€,4.7
Momo Toko,ramen,Ramen,60.16616,24.9339,289.18296882454445,,4.7
Karl Johan,scandinavian,Scandinavian,60.1680266,24.9389719,303.568001290388,€€€,4.7
Zucchini,vegetarian,Vegetarian,60.1662313763646,24.9494676174376,582.7973176429199,€,4.7
Rikhardinkadun kirjasto,libraries,Libraries,60.1662407,24.9464092,410.6995062997931,,4.7
Fisken på Disken,seafood,Seafood,60.1693314661659,24.9338641883605,533.6995988570873,,4.6
Café DaJa,german,German,60.17145,24.95704,1200.3973272296867,€€,4.6
Kansalliskirjasto,libraries,Libraries,60.1704494600943,24.950331910671,844.9072988787032,,4.6
Bar Haven,champagne_bars,Champagne Bars,60.1666,24.95164,720.0407513096427,€€€,4.6
Olo,scandinavian,Scandinavian,60.1680572300478,24.9564699456096,1008.5817716307769,€€€€,4.6
Classic Pizza,pizza,Pizza,60.1685237503237,24.9424013740297,402.3021715084372,€€,4.6
Ravintola Aino,scandinavian,Scandinavian,60.1681595,24.9502296,680.5897482630156,€€€€,4.6
Pompier,scandinavian,Scandinavian,60.1649543127515,24.9331962618671,328.8469257685935,€€,4.6
Kino Andorra & Dubrovnik,danceclubs,Dance Clubs,60.1670113,24.9338894,322.2396156764316,€€,4.6
Kissakahvila Helkatti,coffee,Coffee & Tea,60.1672089,24.933314,384.0547149318237,€€,4.6
Hoshito,japanese,Japanese,60.1715202,24.9259109,994.9046486057242,€€€,4.6
Ask,scandinavian,Scandinavian,60.1721611,24.9558907,1200.517814104032,€€€€,4.5
Bar Mendocino,pubs,Pubs,60.1657849,24.931525,422.49560083570987,€,4.5
Ani,turkish,Turkish,60.1571504587047,24.9336607849584,954.8475188659943,€€,4.5
Fulbari,himalayan,Himalayan/Nepalese,60.1573629,24.9320834,964.1677340592355,€€,4.8
Deli & Cafe Corretto,delis,Delis,60.17362,24.93174,995.6853140741218,,5.0
Kansallisarkisto,education,Education,60.1721191,24.9524994,1010.3402189704118,,4.5
Trocadero,french,French,60.1647987,24.9426403,182.13497758108565,,4.8
Ora,scandinavian,Scandinavian,60.15766,24.94254,872.345088185714,,5.0
Demo,scandinavian,Scandinavian,60.1648301,24.9415088,143.13207390225915,€€€€,4.5
