Yelp Name,Yelp Search,Yelp Category,Latitude,Longitude,Yelp Price,Yelp Rating,Rounded Latitude,Rounded Longitude,ID
Lie Mi,vietnamese,Vietnamese,60.1857213,24.961577,Affordable,4.8,60.186,24.962,60.186_24.962
Soi soi,vegetarian,Vegetarian,60.1884311,24.9587276,Most Affordable,4.4,60.188,24.959,60.188_24.959
Kaiku,danceclubs,Dance Clubs,60.1837558848643,24.9598434879193,Affordable,4.4,60.184,24.96,60.184_24.96
Toveri,wine_bars,Wine Bars,60.1840515,24.9457092,Affordable,4.4,60.184,24.946,60.184_24.946
Döner Harju,kebab,Kebab,60.1886292593151,24.9532030745918,Most Affordable,4.3,60.189,24.953,60.189_24.953
Way Bakery and Wine Bar,bakeries,Bakeries,60.18453,24.95357,Not Listed,5.0,60.185,24.954,60.185_24.954
Kolo,vegan,Vegan,60.18396,24.95742,Not Listed,5.0,60.184,24.957,60.184_24.957
Bali Brunch,indonesian,Indonesian,60.1887,24.9578,Not Listed,5.0,60.189,24.958,60.189_24.958
Onda,mediterranean,Mediterranean,60.184314945045,24.9601788186547,Affordable,4.2,60.184,24.96,60.184_24.96
Kannunvalajien Kuppala,bars,Bars,60.1735802,24.9510002,Most Affordable,4.2,60.174,24.951,60.174_24.951
Fafa's,"mideastern, falafel","Middle Eastern, Falafel",60.1870973757324,24.9662411326682,Most Affordable,4.2,60.187,24.966,60.187_24.966
Kuudes Linja,danceclubs,Dance Clubs,60.1837471809973,24.9595722556114,Expensive,4.1,60.184,24.96,60.184_24.96
Molotow,divebars,Dive Bars,60.1886597,24.9534492,Affordable,4.1,60.189,24.953,60.189_24.953
Street Gastro,foodtrucks,Food Trucks,60.1884589554812,24.9578529596329,Most Affordable,4.1,60.188,24.958,60.188_24.958
Kombo,tapasmallplates,Tapas/Small Plates,60.1883408,24.964871,Not Listed,4.1,60.188,24.965,60.188_24.965
Korea House,korean,Korean,60.1728592,24.9570103,Affordable,4.1,60.173,24.957,60.173_24.957
Bro,scandinavian,Scandinavian,60.1771330506613,24.95125592775,Expensive,4.1,60.177,24.951,60.177_24.951
Oral,dentists,Dentists,60.1819992,24.9545403,Not Listed,5.0,60.182,24.955,60.182_24.955
Ton Khaow,thai,Thai,60.1873901678806,24.9591993060961,Not Listed,5.0,60.187,24.959,60.187_24.959
Pompei,italian,Italian,60.1743813,24.9527702,Affordable,4.0,60.174,24.953,60.174_24.953
Zen Sushi - sushi & sake,japanese,Japanese,60.1743469,24.9528839,Affordable,4.0,60.174,24.953,60.174_24.953
Social Burgerjoint,burgers,Burgers,60.1884023,24.9645183,Not Listed,4.0,60.188,24.965,60.188_24.965
Cafe II-Linja 23,restaurants,Restaurants,60.1832085,24.9451809,Not Listed,5.0,60.183,24.945,60.183_24.945
SOUP Kallio,vegetarian,Vegetarian,60.1870364343619,24.9655186157729,Not Listed,5.0,60.187,24.966,60.187_24.966
Americana Pizzeria,pizza,Pizza,60.18048,24.9501,Not Listed,5.0,60.18,24.95,60.18_24.95
Happy Garden,chinese,Chinese,60.188549,24.9603004,Most Affordable,4.0,60.189,24.96,60.189_24.96
namnam,vietnamese,Vietnamese,60.1880066,24.9533259,Not Listed,5.0,60.188,24.953,60.188_24.953
Oppimiskeskus Minerva,collegeuniv,Colleges & Universities,60.175235566064,24.953188890984,Not Listed,4.0,60.175,24.953,60.175_24.953
FinDesh,pubs,Pubs,60.18238,24.95383,Not Listed,5.0,60.182,24.954,60.182_24.954
Lihakauppa Roslund,burgers,Burgers,60.1897720412185,24.9717521735413,Affordable,4.3,60.19,24.972,60.19_24.972
Mikura Sushi,sushi,Sushi Bars,60.1907631,24.9472525,Affordable,4.3,60.191,24.947,60.191_24.947
B-Side Bar,bars,Bars,60.1897888,24.9725208,Affordable,5.0,60.19,24.973,60.19_24.973
Tislaamo,cocktailbars,Cocktail Bars,60.1903838,24.9720839,Not Listed,5.0,60.19,24.972,60.19_24.972
Viola,"scandinavian, restaurants","Scandinavian, Restaurants",60.1759691376373,24.9460696710438,Affordable,4.0,60.176,24.946,60.176_24.946
Työväen Arkiston säätiö,libraries,Libraries,60.18566,24.96679,Not Listed,5.0,60.186,24.967,60.186_24.967
Camel Cafe,african,African,60.18222,24.94762,Not Listed,5.0,60.182,24.948,60.182_24.948
Bites Vallila,burgers,Burgers,60.1956497023996,24.9511537262297,Most Affordable,4.6,60.196,24.951,60.196_24.951
KOKORO Sushi,sushi,Sushi Bars,60.19418,24.95073,Not Listed,5.0,60.194,24.951,60.194_24.951
Addis Ethiopian Kitchen,ethiopian,Ethiopian,60.19444,24.95611,Not Listed,5.0,60.194,24.956,60.194_24.956
Sepia,kebab,Kebab,60.19444,24.95611,Affordable,4.5,60.194,24.956,60.194_24.956
Pub Magneetti,bars,Bars,60.193543634868,24.958349085068,Most Affordable,4.2,60.194,24.958,60.194_24.958
Vallilan Hammaslääkärikeskus,dentists,Dentists,60.1911392,24.961689,Not Listed,5.0,60.191,24.962,60.191_24.962
