Data Point,Foursquare Name,Foursquare Popularity,Foursquare Price,Matched Name,Yelp Name,Yelp Price,Search,Category,Rounded Latitude,Rounded Longitude,Rating
Point of Interest,,,,,Chapter,Affordable,cocktailbars,Cocktail Bars,60.169,24.953,8.6
Point of Interest,,,,,Chef & Sommelier,Most Expensive,scandinavian,Scandinavian,60.158,24.943,9.6
Point of Interest,,,,,Cheng Du,Expensive,chinese,Chinese,60.186,25.008,10.0
Point of Interest,Cheng Long,0.9741772274667012,Most Affordable,Cheng Long,,,13099,Chinese Restaurant,60.195,24.955,5.8
Point of Interest,,,,,Cheng Long,Most Affordable,chinese,Chinese,60.195,24.956,7.4
Point of Interest,Cheng Long,0.0,Not Listed,Cheng Long,,,13065,Restaurant,60.221,25.073,
Point of Interest,,,,,Chico's,Affordable,tradamerican,American,60.183,24.925,4.6
Point of Interest,,,,,Chico's,Not Listed,tradamerican,American,60.202,24.967,6.0
Point of Interest,,,,,Chico's,Affordable,tradamerican,American,60.208,25.144,4.0
Point of Interest,,,,,Chico's,Affordable,tradamerican,American,60.218,24.812,6.4
Point of Interest,,,,,Chico's,Not Listed,tradamerican,American,60.21,25.08,4.0
Point of Interest,,,,,Chico's,Not Listed,tradamerican,American,60.227,25.008,6.0
Point of Interest,Chico's,0.9953705352373492,Affordable,Chico's,,,13068,American Restaurant,60.291,24.969,5.1
Point of Interest,,,,,Chico's,Not Listed,tradamerican,American,60.294,25.037,8.6
Point of Interest,,,,,Chico's,Expensive,tradamerican,American,60.29,24.965,8.0
Point of Interest,,,,,Chihuahua Julep,Not Listed,cocktailbars,Cocktail Bars,60.165,24.945,10.0
Point of Interest,,,,,Chilitos,Affordable,mexican,Mexican,60.237,24.889,10.0
Point of Interest,Chilitos,0.287240482888786,Most Affordable,Chilitos,,,13305,Burrito Restaurant,60.291,24.965,
Point of Interest,,,,,China Flavor,Not Listed,chinese,Chinese,60.203,24.968,8.0
Point of Interest,,,,,Chinaman,Most Affordable,chinese,Chinese,60.264,25.027,7.4
Point of Interest,China Man,0.5634414728820198,Affordable,Chinaman,,,13072,Asian Restaurant,60.271,24.856,
Point of Interest,,,,,Chopsticks,Affordable,japanese,Japanese,60.217,24.81,6.0
Point of Interest,,,,,Ciao! Caffé,Not Listed,"icecream, italian","Ice Cream & Frozen Yogurt, Italian",60.163,24.911,7.4
Point of Interest,,,,,Ciao! Caffé,Most Affordable,"icecream, italian","Ice Cream & Frozen Yogurt, Italian",60.203,24.968,2.0
Point of Interest,,,,,Ciao! Caffé,Not Listed,"icecream, italian","Ice Cream & Frozen Yogurt, Italian",60.207,25.146,6.0
Point of Interest,,,,,Clarion Hotel Helsinki,Expensive,hotels,Hotels,60.16,24.922,7.0
Point of Interest,,,,,Classic American Diner,Affordable,tradamerican,American,60.21,25.085,4.0
Point of Interest,,,,,Classic American Diner,Affordable,tradamerican,American,60.29,24.963,6.0
Point of Interest,,,,,Classic Pizza,Affordable,pizza,Pizza,60.162,24.738,8.0
Point of Interest,,,,,Classic Pizza,Affordable,pizza,Pizza,60.169,24.942,9.2
Point of Interest,Classic Pizza,0.950530489077222,Most Affordable,Classic Pizza,,,13064,Pizzeria,60.176,24.805,
Point of Interest,,,,,Classic Pizza,Affordable,pizza,Pizza,60.213,25.084,6.0
Point of Interest,,,,,Classic Pizza,Affordable,pizza,Pizza,60.218,24.812,8.6
Point of Interest,,,,,Classic Pizza,Affordable,pizza,Pizza,60.291,24.962,6.8
Point of Interest,,,,,Coccola,Affordable,mediterranean,Mediterranean,60.188,24.941,4.6
Point of Interest,,,,,Coco Grill,Affordable,latin,Latin American,60.195,24.958,8.0
Point of Interest,Loc Grilli,0.9881863854512768,Most Affordable,Coco Grill,,,13145,Fast Food Restaurant,60.221,24.813,
Point of Interest,,,,,Codle,Not Listed,vietnamese,Vietnamese,60.186,24.962,8.0
Point of Interest,,,,,Coma,Expensive,mediterranean,Mediterranean,60.175,24.928,8.6
Point of Interest,,,,,Comviet,Affordable,vietnamese,Vietnamese,60.213,25.096,6.0
Point of Interest,,,,,Copas y Tapas,Not Listed,tapasmallplates,Tapas/Small Plates,60.169,24.949,8.6
Point of Interest,,,,,Crystal Show Club,Affordable,danceclubs,Dance Clubs,60.165,24.934,10.0
Point of Interest,Curry Palace,0.9853132373477153,Affordable,Curry Palace,,,13199,Indian Restaurant,60.176,24.833,
Point of Interest,,,,,Curry Palace,Affordable,indpak,Indian,60.217,24.811,8.0
Point of Interest,,,,,DATE + KALE,Affordable,vegan,Vegan,60.169,24.934,10.0
Point of Interest,,,,,Da You Life,Not Listed,sushi,Sushi Bars,60.175,24.808,2.0
Point of Interest,,,,,Dacca,Not Listed,indpak,Indian,60.163,24.913,6.0
Point of Interest,Daddy Greens Pizzabar - Kallio,0.9738943488943488,Most Affordable,Daddy Greens Pizzabar,,,13064,Pizzeria,60.184,24.951,8.3
Point of Interest,,,,,Daddy Greens Pizzabar,Not Listed,pizza,Pizza,60.185,24.92,9.0
Point of Interest,Daddy Greens Pizzabar,0.9798024699340488,Most Affordable,Daddy Greens Pizzabar,,,13064,Pizzeria,60.185,24.921,9.3
Point of Interest,,,,,Danphe,Affordable,himalayan,Himalayan/Nepalese,60.195,24.958,7.4
Point of Interest,,,,,Daruma,Not Listed,sushi,Sushi Bars,60.175,24.927,10.0
Point of Interest,Davisto,0.9918781399977528,Affordable,Davisto,Davisto,Not Listed,13022,Sports Bar,60.173,24.725,7.7
Point of Interest,,,,,Decanter,Not Listed,restaurants,Restaurants,60.162,24.738,6.0
Point of Interest,Decanter Wine Bar & Shop,0.1142517776600696,Affordable,Decanter Wine Bar & Shop,Decanter Wine Bar & Shop,Expensive,13025,Wine Bar,60.162,24.738,7.1
Point of Interest,,,,,Del Mar,Not Listed,spanish,Spanish,60.186,25.031,9.4
Point of Interest,,,,,Deli & Cafe Corretto,Not Listed,delis,Delis,60.174,24.932,10.0
Point of Interest,,,,,Delight,Not Listed,bars,Bars,60.318,24.966,4.0
Point of Interest,,,,,Deliroom Ukkohauki,Not Listed,salad,Salad,60.171,24.764,8.0
Point of Interest,,,,,Delivo,Not Listed,"coffee, delis","Coffee & Tea, Delis",60.182,24.851,7.0
Point of Interest,Delivo Oy,0.0,Not Listed,Delivo,Delivo,Most Affordable,13032,"Cafe, Coffee, And Tea House",60.198,24.878,6.8
Point of Interest,,,,,Demo,Most Expensive,scandinavian,Scandinavian,60.165,24.942,9.0
Point of Interest,,,,,Dennis,Affordable,italian,Italian,60.18,24.925,6.2
