Name,Category ID,Category Name,Latitude,Longitude,Distance,Popularity,Price,Rating,Distance_mean,Distance_min,Distance_max,Bike Spots Near,Popularity_mean,Popularity_min,Popularity_max
Maitikkapuiston koira-aitaus,16033,Dog Park,60.304009,25.01797,861,0.6523271963249172,Not Listed,Not Rated,596.8333333333334,348,861,6,0.6523271963249172,0.6523271963249172,0.6523271963249172
HSL V6128 Valtion Virastotalo,19043,Bus Stop,60.29681,25.038096,878,0.9240767778925252,Not Listed,Not Rated,871.3333333333334,829,907,3,0.9240767778925253,0.9240767778925252,0.9240767778925252
Höyhensaaret,13016,Lounge,60.31258,25.030765,922,0.5625511911968947,Expensive,Not Rated,581.0,231,922,10,0.5625511911968947,0.5625511911968947,0.5625511911968947
HSL V6115 Vantaan Opistotalo,19043,Bus Stop,60.296658,25.039869,926,0.9248246145080304,Not Listed,Not Rated,894.5,796,947,4,0.9248246145080304,0.9248246145080304,0.9248246145080304
Ravintola Unikko/Blue Service Partners Oy,13065,Restaurant,60.312769,25.036321,942,0.4555749439122538,Not Listed,Not Rated,589.4,89,942,10,0.4555749439122538,0.4555749439122538,0.4555749439122538
HSL V6127 Valtion virastotalo,19043,Bus Stop,60.296023,25.038943,976,0.0845767600868915,Not Listed,Not Rated,856.2,665,985,5,0.0845767600868915,0.0845767600868915,0.0845767600868915
Vintero,13065,Restaurant,60.296007,25.039529,988,0.985007656422492,Not Listed,Not Rated,553.4736842105264,35,988,19,0.985007656422492,0.985007656422492,0.985007656422492
Yoga Nordic,18028,Yoga Studio,60.283781,24.969192,760,0.963284783305438,Not Listed,8.2,676.3333333333334,325,875,9,0.9632847833054379,0.963284783305438,0.963284783305438
Caffi,11020,Business and Strategy Consulting Office,60.290678,24.969495,285,0.9920230761012784,Most Affordable,8.1,532.75,107,949,8,0.9920230761012784,0.9920230761012784,0.9920230761012784
Momotoko,13272,Ramen Restaurant,60.292151,24.964521,216,0.9713329297389696,Not Listed,7.5,567.1,181,992,9,0.9713329297389695,0.9713329297389696,0.9713329297389696
Vantaan kaupunki Pointin kirjasto,12080,Library,60.284903,24.95864,668,0.9728642142373848,Not Listed,7.2,615.6666666666666,38,913,9,0.9728642142373849,0.9728642142373848,0.9728642142373848
Fazer Café & Restaurant,13065,Restaurant,60.292583,24.96388,266,0.5276165378725829,Not Listed,6.5,573.0,203,970,10,0.5276165378725829,0.5276165378725829,0.5276165378725829
Subway,13039,Deli,60.291741,24.964682,171,0.9529219044905808,Most Affordable,6.5,508.6666666666667,156,917,9,0.9529219044905807,0.9529219044905808,0.9529219044905808
"Burger King Vantaa, Jumbo",13145,Fast Food Restaurant,60.292519,24.964525,257,0.994480253552224,Most Affordable,6.2,576.3,214,957,10,0.9944802535522241,0.994480253552224,0.994480253552224
Picnic,13034,Café,60.292519,24.964525,257,0.7963391617107652,Most Affordable,6.1,576.3,214,957,10,0.7963391617107652,0.7963391617107652,0.7963391617107652
Ravintola Vivace,13065,Restaurant,60.292788,24.969639,407,0.9501086143655852,Not Listed,5.8,481.14285714285717,191,818,7,0.9501086143655852,0.9501086143655852,0.9501086143655852
Hesburger Vantaa Jumbo Drive-In,13145,Fast Food Restaurant,60.290239,24.960848,195,0.9849720451550872,Affordable,5.7,472.77777777777777,110,775,9,0.9849720451550872,0.9849720451550872,0.9849720451550872
Pikku Santorini - Greek Restaurant,13177,Greek Restaurant,60.290248,24.96934,272,0.1288415654713151,Affordable,5.7,524.125,73,906,8,0.1288415654713151,0.1288415654713151,0.1288415654713151
Ristorante il Siciliano2,13236,Italian Restaurant,60.290639,24.968863,250,0.9462269862184396,Affordable,5.6,514.625,82,956,8,0.9462269862184396,0.9462269862184396,0.9462269862184396
Bistro Fiore,13065,Restaurant,60.295322,24.971532,691,0.9765677860475054,Not Listed,5.3,585.0,150,926,7,0.9765677860475054,0.9765677860475054,0.9765677860475054
Fonda del Sol,13065,Restaurant,60.2919,24.964714,189,0.9573377016488016,Affordable,5.3,514.1111111111111,169,915,9,0.9573377016488016,0.9573377016488016,0.9573377016488016
La Famiglia Flamingo,13236,Italian Restaurant,60.290499,24.969147,263,0.9724012677611196,Affordable,5.2,520.5,80,936,8,0.9724012677611196,0.9724012677611196,0.9724012677611196
Rax Pizzabuffet,13030,Buffet,60.290596,24.969028,258,0.9623588903529076,Not Listed,5.1,518.25,83,948,8,0.9623588903529076,0.9623588903529076,0.9623588903529076
Hua Du Asian Fusion Cuisine,13072,Asian Restaurant,60.290492,24.969042,257,0.9882482817563476,Affordable,5.0,517.375,75,937,8,0.9882482817563476,0.9882482817563476,0.9882482817563476
HSL V5127 Jumbo,19043,Bus Stop,60.290101,24.965325,52,0.9680923044051136,Not Listed,Not Rated,503.44444444444446,52,989,9,0.9680923044051136,0.9680923044051136,0.9680923044051136
Pasta Box,13236,Italian Restaurant,60.290628,24.965361,71,0.5724155122680816,Affordable,Not Rated,502.1111111111111,71,987,9,0.5724155122680816,0.5724155122680816,0.5724155122680816
